@  id    name        volt      Eq            R         X         B             I_node            J_node           I_P          I_Q          J_P          J_Q          I_off        J_off        Ih          Pi_meas          Qi_meas          Pj_meas          Qj_meas           I_nd          J_nd         I_bs          J_bs         I_island     J_island     R*              X*              B*
// 序号  交流线路名  电压等级  等值线路标志  线路电阻  线路电抗  线路单端电纳  I端所在拓扑节点   J端所在拓扑节点  I端有功功率  I端无功功率  J端有功功率  J端无功功率  I端开断标志  J端开断标志  允许载流量  I端有功功率量测  I端无功功率量测  J端有功功率量测  J端无功功率量测   I端物理节点   J端物理节点  I端计算节点   J端计算节点  I端电气岛号  J端电气岛号  线路电阻标幺值  线路电抗标幺值  线路单端电纳标幺值
#  1  东北.阿科一线  500  0  4.007000  53.599998  7.420000e-04  东北.阿拉坦站.500.10   东北.科尔沁站.500.81    331.003    -53.002   -329.417     24.497  0  0   4270.000    333.18    -61.96   -333.61     40.58  28948  29090  10  81  0  0  0.001454  0.019447  2.045137
#  2  东北.阿科二线  500  0  3.994700  51.987999  7.399095e-04  东北.阿拉坦站.500.10   东北.科尔沁站.500.81    341.152    -53.996   -339.472     27.310  0  0   4270.000    336.23    -62.98   -333.67     41.11  28950  29096  10  81  0  0  0.001449  0.018862  2.039376
#  3  东北.阿林一线  220  0  3.968800  22.578602  7.411151e-05  东北.阿拉坦站.220.12   东北.霍林河站.220.69     27.103     -9.972    -27.046      2.334  0  0    845.000     23.58    -10.18    -27.02      1.93  28945  29055  12  69  0  0  0.007502  0.042682  0.039205
#  4  东北.阿林二线  220  0  4.017200  22.249500  7.621900e-05  东北.阿拉坦站.220.12   东北.霍林河站.220.69     27.453    -10.296    -27.394      2.436  0  0    845.000     30.57    -10.61    -27.34      1.93  28944  29053  12  69  0  0  0.007594  0.042060  0.040320
#  5  东北.阿鲁线  220  0  9.099200  50.118195  1.626445e-04  东北.阿拉坦站.220.12   东北.鲁北站.220.89     13.585    -17.981    -13.539      0.656  0  0    845.000     12.15    -19.12    -12.47      2.18  28942  29105  12  89  0  0  0.017201  0.094741  0.086039
#  6  东北.阿右线  220  0  10.144600  57.470200  1.940290e-04  东北.阿拉坦站.220.12   东北.右中站.220.146      5.846    -26.764     -5.789      5.907  0  0    845.000      3.39    -27.33     -2.01      7.37  28943  29241  12  146  0  0  0.019177  0.108639  0.102641
#  7  东北.巴青一线  500  0  2.675000  34.799999  4.898400e-04  东北.巴林站.500.19   东北.青山站.500.97    715.984    -17.087   -711.213     27.722  0  0   4260.000    718.89    -29.21   -709.55     28.17  28967  29134  19  97  0  0  0.000971  0.012626  1.350121
#  8  东北.巴青二线  500  0  2.700000  34.599998  4.882720e-04  东北.巴林站.500.19   东北.青山站.500.97    720.068    -17.421   -715.197     29.302  0  0   4260.000    714.43    -27.86   -711.07     28.17  28970  29138  19  97  0  0  0.000980  0.012553  1.345800
#  9  东北.白巴一线  500  0  2.866500  30.800001  4.223300e-04  东北.白音华厂.500.29   东北.巴林站.500.19    477.381     11.545   -475.089    -57.322  0  0   3660.000    478.10     10.67   -475.99    -42.80  28977  28969  29  19  0  0  0.001040  0.011175  1.164047
#  10  东北.白巴二线  500  0  2.866500  30.787312  4.286100e-04  东北.白音华厂.500.29   东北.巴林站.500.19    477.575      9.709   -475.281    -59.082  0  0   3660.000    477.44     -4.01   -473.85    -43.25  28982  28972  29  19  0  0  0.001040  0.011170  1.181356
#  11  东北.电河一线  220  0  0.420000  2.120000  2.004000e-05  东北.通辽厂.220.121   东北.河西站.220.56    161.023    -29.908   -160.803     28.969  0  0   1420.000    158.38    -29.34   -157.57     28.41  29160  29071  121  56  0  0  0.000794  0.004008  0.010601
#  12  东北.电河二线  220  0  0.420000  2.116000  2.004000e-05  东北.通辽厂.220.121   东北.河西站.220.56    161.306    -30.019   -161.085     29.082  0  0   1400.000    158.38    -28.00   -158.11     27.60  29161  29072  121  56  0  0  0.000794  0.004000  0.010601
#  13  东北.电铝四线  220  0  0.435600  2.371600  1.528925e-05  东北.霍煤厂.220.nd29059   东北.鸿铝站.220.nd29065      0.000      0.000      0.000      0.000  0  0   1690.000      0.00      0.00      0.00      0.00  29059  29065  4088  58  -1  -1  0.000823  0.004483  0.008088
#  14  东北.电铝五线  220  0  0.387200  2.468400  1.570250e-05  东北.霍煤厂.220.nd29060   东北.鸿铝站.220.nd29066      0.000      0.000      0.000      0.000  1  1   1690.000      0.00  ''     -0.00      0.00  29060  29066  4089  4084  -1  -1  0.000732  0.004666  0.008307
#  15  东北.霍阿一线  500  0  0.947300  9.219900  1.171848e-04  东北.霍煤坑口厂.500.62   东北.阿拉坦站.500.10    289.936   -135.595   -289.612     73.566  0  0   4270.000    298.96   -148.33   -298.14     80.76  29047  28952  62  10  0  0  0.000344  0.003345  0.322991
#  16  东北.霍煤一线  220  0  0.580800  2.952400  1.466940e-05  东北.霍煤厂.220.71   东北.霍林河站.220.69    -46.785     -2.436     46.809      0.981  0  0    800.000    -47.07     -1.67     46.31      1.29  29057  29054  71  69  0  0  0.001098  0.005581  0.007760
